ptp4l[6535.452]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.452]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.453]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.507]: port 1 (eth0): new foreign master 0242ac.fffe.102500-1
ptp4l[6539.507]: selected best master clock 0242ac.fffe.102500
ptp4l[6539.508]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[6716.525]: master offset       -500 s2 freq   -8336 path delay     -2100
ptp4l[6717.525]: master offset        500 s2 freq   -8236 path delay     -2200
ptp4l[6718.525]: master offset       -800 s2 freq   -8366 path delay     -2200
ptp4l[6719.525]: master offset       -800 s2 freq   -8367 path delay     -2200
ptp4l[6720.525]: master offset       -600 s2 freq   -8348 path delay     -2200
ptp4l[6721.525]: master offset       -200 s2 freq   -8308 path delay     -2200
ptp4l[6722.526]: master offset        325 s2 freq   -8255 path delay     -2425
ptp4l[6723.526]: master offset       -375 s2 freq   -8325 path delay     -2425
ptp4l[6724.526]: master offset      -1500 s2 freq   -8439 path delay     -2700
ptp4l[6725.526]: master offset       -425 s2 freq   -8332 path delay     -2975
ptp4l[6726.526]: master offset       -700 s2 freq   -8361 path delay     -3000
ptp4l[6727.526]: master offset 7103009464588753957 s2 freq +100000000 path delay     -3000
ptp4l[6728.526]: master offset 7103009465588855394 s2 freq +100000000 path delay     -2875
ptp4l[6729.526]: master offset 7103009466588979955 s2 freq +100000000 path delay     -2875
ptp4l[6730.526]: master offset -1775752366147187964 s2 freq -100000000 path delay 1775752366147185564
ptp4l[6731.527]: master offset 5327257102442018214 s2 freq +100000000 path delay 1775752366147185889
ptp4l[6732.527]: master offset -3551504732294377353 s2 freq -100000000 path delay 3551504732294374153
ptp4l[6733.527]: master offset -3551504732294376954 s2 freq -100000000 path delay 3551504732294374153
ptp4l[6734.527]: master offset -3551504732294376253 s2 freq -100000000 path delay 3551504732294374153
